movieId,title,genres,year,clean_title,text
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,Toy Story,Toy Story Adventure Animation Children Comedy Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy,1995,Jumanji,Jumanji Adventure Children Fantasy
3,Grumpier Old Men (1995),Comedy|Romance,1995,Grumpier Old Men,Grumpier Old Men Comedy Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,Waiting to Exhale,Waiting to Exhale Comedy Drama Romance
5,Father of the Bride Part II (1995),Comedy,1995,Father of the Bride Part II,Father of the Bride Part II Comedy
6,Heat (1995),Action|Crime|Thriller,1995,Heat,Heat Action Crime Thriller
7,Sabrina (1995),Comedy|Romance,1995,Sabrina,Sabrina Comedy Romance
8,Tom and Huck (1995),Adventure|Children,1995,Tom and Huck,Tom and Huck Adventure Children
9,Sudden Death (1995),Action,1995,Sudden Death,Sudden Death Action
10,GoldenEye (1995),Action|Adventure|Thriller,1995,GoldenEye,GoldenEye Action Adventure Thriller
11,"American President, The (1995)",Comedy|Drama|Romance,1995,"American President, The","American President, The Comedy Drama Romance"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,Dracula: Dead and Loving It,Dracula: Dead and Loving It Comedy Horror
13,Balto (1995),Adventure|Animation|Children,1995,Balto,Balto Adventure Animation Children
14,Nixon (1995),Drama,1995,Nixon,Nixon Drama
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,Cutthroat Island,Cutthroat Island Action Adventure Romance
16,Casino (1995),Crime|Drama,1995,Casino,Casino Crime Drama
17,Sense and Sensibility (1995),Drama|Romance,1995,Sense and Sensibility,Sense and Sensibility Drama Romance
18,Four Rooms (1995),Comedy,1995,Four Rooms,Four Rooms Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,Money Train,Money Train Action Comedy Crime Drama Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,Get Shorty,Get Shorty Comedy Crime Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,Copycat,Copycat Crime Drama Horror Mystery Thriller
